model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,ref_mode,alt_ref_rows_used,source_file
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,42,structured,455,90.41,94.23,94.03,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,42,tatoeba,1000,1.6,23.23,20.72,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,456,combined,1455,24.06,39.2,37.76,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,456,structured,455,92.46,95.99,95.68,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,456,tatoeba,1000,2.56,24.54,22.02,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,789,combined,1455,24.12,38.91,37.41,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,789,structured,455,93.16,95.78,95.71,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,789,tatoeba,1000,2.57,24.23,21.52,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,123,combined,1455,22.84,28.25,27.99,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/STRUCTURED-2K/seed123/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,123,structured,455,92.72,95.84,95.67,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/STRUCTURED-2K/seed123/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,123,tatoeba,1000,0.31,8.86,7.8,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/STRUCTURED-2K/seed123/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,2024,combined,1455,23.11,28.03,27.86,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/STRUCTURED-2K/seed2024/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,2024,structured,455,92.79,95.58,95.5,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/STRUCTURED-2K/seed2024/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,2024,tatoeba,1000,0.24,8.46,7.49,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/STRUCTURED-2K/seed2024/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,42,combined,1455,22.75,28.34,28.11,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,42,structured,455,92.8,95.57,95.44,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,42,tatoeba,1000,0.38,9.3,8.27,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
