experiment,condition,seed,model,train_size,test_bleu,test_chrf,test_chrfpp,test_ter,training_time_seconds,actual_epochs,test_n_samples
exp1,RANDOM-4K,2024,facebook/nllb-200-distilled-600M,3600,3.774204171140484,29.106143964334436,26.05300319263886,100.20481927710843,4234.415360450745,,1455
exp1,RANDOM-4K,42,facebook/nllb-200-distilled-600M,3600,2.970711903500196,28.153122127833786,25.245410945106094,104.44578313253012,3522.111578941345,,1455
exp1,RANDOM-4K,456,facebook/nllb-200-distilled-600M,3600,4.085705773232972,29.23388709018943,26.20618266469195,97.69879518072288,5227.560501098633,,1455
exp1,RANDOM-4K,789,facebook/nllb-200-distilled-600M,3600,3.3837649565673082,28.085150331124147,25.095354028868815,100.40963855421687,3822.0859246253967,,1455
exp1,RANDOM-6K_STRUCTURED-4K,123,facebook/nllb-200-distilled-600M,8516,21.75942546012316,41.070133611901426,39.16782472898671,79.74698795180723,4195.408781290054,,1455
exp1,RANDOM-6K_STRUCTURED-4K,2024,facebook/nllb-200-distilled-600M,8516,22.999346285696877,41.30409972442315,39.44046162703004,76.13253012048192,5281.798009634018,,1455
exp1,RANDOM-6K_STRUCTURED-4K,42,facebook/nllb-200-distilled-600M,8516,20.78425961457176,40.10971529672331,38.14052483820936,85.26506024096385,3546.6661500930786,,1455
exp1,RANDOM-6K_STRUCTURED-4K,456,facebook/nllb-200-distilled-600M,8516,23.2734408861032,41.13110293943876,39.18548924782691,75.69879518072288,4425.042683124542,,1455
exp1,RANDOM-6K_STRUCTURED-4K,789,facebook/nllb-200-distilled-600M,8516,18.28966001608334,38.67741219025054,36.94231145492686,95.18072289156626,3150.470311641693,,1455
exp1,STRUCTURED-2K,123,facebook/nllb-200-distilled-600M,1800,20.77001539336914,29.213309008490928,28.819139062955863,83.51807228915663,3387.688853263855,,1455
exp1,STRUCTURED-2K,2024,facebook/nllb-200-distilled-600M,1800,21.617517301291006,29.482674960582134,29.198537295852383,78.78313253012048,2756.20494890213,,1455
exp1,STRUCTURED-2K,42,facebook/nllb-200-distilled-600M,1800,21.37928253021592,29.842088791619886,29.556439097153188,81.9156626506024,2881.117219686508,,1455
exp1,STRUCTURED-2K,456,facebook/nllb-200-distilled-600M,1800,15.16026389881753,28.01851218804332,27.51236693163916,106.26506024096385,2714.2473566532135,,1455
exp1,STRUCTURED-2K,789,facebook/nllb-200-distilled-600M,1800,20.641037659793614,29.46351855357473,29.154269798910136,84.3855421686747,3111.401617527008,,1455
exp1,STRUCTURED-4K-ONLY,123,facebook/nllb-200-distilled-600M,3116,19.392921352168806,29.73750428321778,29.149724350756163,91.13253012048193,2143.258598089218,,1455
exp1,STRUCTURED-4K-ONLY,2024,facebook/nllb-200-distilled-600M,3116,20.767141621116984,29.27027834008536,28.596823701105944,90.09638554216868,2618.975095272064,,1455
exp1,STRUCTURED-4K-ONLY,42,facebook/nllb-200-distilled-600M,3116,20.967733150391403,28.952426209086727,28.50423778394859,85.03614457831326,3108.5638654232025,,1455
exp1,STRUCTURED-4K-ONLY,456,facebook/nllb-200-distilled-600M,3116,17.99859660595804,28.396164144060904,27.819765775406157,100.40963855421687,2002.333925485611,,1455
exp1,STRUCTURED-4K-ONLY,789,facebook/nllb-200-distilled-600M,3116,18.404585158754326,28.96930290494584,28.534373111651252,99.25301204819277,2462.4173793792725,,1455
exp2,RANDOM-1000,123,facebook/nllb-200-distilled-600M,900,2.4250560066931164,22.031184899536445,19.915893580918087,101.26506024096385,2084.205379009247,,1455
exp2,RANDOM-1000,2024,facebook/nllb-200-distilled-600M,900,2.721972360994331,22.351924630538942,20.304241371061067,103.15662650602411,2161.898381948471,,1455
exp2,RANDOM-1000,42,facebook/nllb-200-distilled-600M,900,2.7607661139021,22.166290060177822,20.171606569402336,106.28915662650601,2103.6841089725494,,1455
exp2,RANDOM-1000,456,facebook/nllb-200-distilled-600M,900,2.3724625810860145,21.897149432902406,19.837090863012737,108.87951807228914,2109.0291061401367,,1455
exp2,RANDOM-1000,789,facebook/nllb-200-distilled-600M,900,2.701293777720133,21.846730267626345,19.801523696535583,100.13253012048193,2098.244611978531,,1455
exp2,RANDOM-10000,123,facebook/nllb-200-distilled-600M,7200,4.257553175304907,30.82484204788457,27.563158921856584,94.73493975903614,6061.609944343567,,1455
exp2,RANDOM-10000,2024,facebook/nllb-200-distilled-600M,7200,3.9928520385466575,30.814485641086257,27.569146744983737,97.95180722891567,7009.652048826218,,1455
exp2,RANDOM-10000,42,facebook/nllb-200-distilled-600M,7200,4.16746626300375,30.485661074861525,27.236912751535748,98.0722891566265,6315.469606637955,,1455
exp2,RANDOM-10000,456,facebook/nllb-200-distilled-600M,7200,4.221525881591701,31.3929598151655,27.95248826343383,93.5421686746988,5472.164300918579,,1455
exp2,RANDOM-10000,789,facebook/nllb-200-distilled-600M,7200,3.9881988650395708,30.510094730919253,27.46343703161812,103.28915662650601,5079.796019077301,,1455
exp2,RANDOM-200,123,facebook/nllb-200-distilled-600M,180,0.602901063965145,12.897533748277311,11.79573284093039,157.6987951807229,366.3655915260315,,1455
exp2,RANDOM-200,2024,facebook/nllb-200-distilled-600M,180,0.28709272607365927,13.116195975249608,11.894954859818833,143.7710843373494,367.0312645435333,,1455
exp2,RANDOM-200,42,facebook/nllb-200-distilled-600M,180,0.5311875172924996,12.469236237323951,11.322422291191971,177.0120481927711,370.421226978302,,1455
exp2,RANDOM-200,456,facebook/nllb-200-distilled-600M,180,0.49314383665851325,13.061952006090202,11.875078035345137,167.710843373494,369.9007384777069,,1455
exp2,RANDOM-200,789,facebook/nllb-200-distilled-600M,180,0.389853877373358,13.577354567180159,12.307933041898329,142.87951807228916,364.8489818572998,,1455
